Star,Mass
Sun,20.333966
BD+062932,15.994143
BD+063077,
BD+083095,
BD-002387,25.306185
BD-010184,29.435584
BD-012505,25.012405
BD-033746,34.900749
BD-034797,29.823975
BD-044138,30.348261
BD-050484,
BD-050578,20.620721
BD-053176,30.064523
BD-053596,31.599195
BD-054065,17.861076
BD-060904,19.894398
BD-063481,20.081028
BD-064196,17.834916
BD-064756,20.13593
BD-082534,
BD-082823,21.395688
BD-090872,18.173509
BD-091261,29.271633
BD-092670,20.252821
BD-094191,21.973728
BD-112763,19.222104
BD-120327,
BD-123458,
BD-130116,35.933061
BD-130321,28.050048
BD-131161,26.256765
BD-140184,
BD-145003,
BD-160308,
BD-160931,17.266559
BD-170063,
BD-173242,25.138317
BD-195953,24.52543
BD-213153,20.460046
BD-223528,22.72654
CD-2310879,25.193556
CD-436810,
CD-4512460,17.055229
CD-452997,
CD-571633,25.984068
HD10002,20.874707
HD100289,20.78616
HD100508,20.757889
HD100777,
HD101339,20.305912
HD101367,22.374473
HD101581,24.064385
HD101612,19.322664
HD101644,19.687259
HD101650,
HD10166,
HD10180,21.968816
HD101930,20.744736
HD102117,21.231703
HD102136,17.752634
HD102300,
HD102365,
HD102438,
HD102843,20.579449
HD103197,18.977831
HD103720,18.63187
HD103891,
HD103949,21.624641
HD104006,
HD104067,19.315795
HD104263,
HD104760A,23.462864
HD104800,
HD104982,21.749802
HD105004,
HD105671,24.278553
HD105779,21.003492
HD105837,
HD105938,23.100126
HD106116,21.440473
HD106275,20.083633
HD106290,23.831453
HD10647,20.859403
HD106589,22.846588
HD10700,
HD107094,
HD107148,23.614916
HD108063,26.404736
HD108147,21.115517
HD108309,21.612575
HD108341,18.407205
HD108564,
HD108768,20.845273
HD108935,25.925286
HD10895,17.061793
HD109098,21.673257
HD109200,
HD109271,22.221828
HD109310,
HD109368,22.349109
HD109409,22.966429
HD109423,17.648998
HD109684,
HD109723,19.435657
HD109988,
HD110291,21.011993
HD110557,19.59634
HD110619,
HD110668,22.356085
HD111031,22.426033
HD111232,
HD111515,
HD111564,22.20957
HD111777,
HD112100,20.290041
HD11226,21.967405
HD112283,18.444952
HD112540,21.130548
HD113101,
HD113513,30.385591
HD113569,21.203343
HD113679,
HD11397,
HD114076,
HD114386,23.314124
HD114561,21.746592
HD114613,21.303594
HD114729,
HD114747,
HD114783,
HD114853,21.168424
HD11505,
HD115341,21.81318
HD115499,19.285215
HD115585,22.28878
HD115617,20.996984
HD115674,20.518897
HD115773,21.645699
HD115902,21.946481
HD11608,23.50801
HD116259,
HD116284,20.615842
HD116410,22.234733
HD11683,21.84364
HD116858,19.275995
HD116883,17.380587
HD116920,21.037597
HD116963,24.084139
HD1171,
HD117105,
HD117207,20.862684
HD117359,19.013364
HD117618,22.160801
HD117938,20.383592
HD118466,20.396821
HD118563,20.991518
HD119173,
HD119291,24.168203
HD11938,20.931594
HD119503,18.155829
HD119629,20.518332
HD119638,20.775358
HD11964A,19.382434
HD119782,18.537365
HD119949,
HD120344,21.257527
HD120362,17.917408
HD120491,23.036335
HD121004,
HD121504,21.720453
HD122308,20.082733
HD122474,22.396545
HD122862,20.975901
HD123265,
HD123319,
HD12345,20.479594
HD123517,18.265454
HD123619,
HD123651,
HD1237,17.861458
HD12387,
HD124106,18.441567
HD124292,
HD124364,19.281769
HD124785,
HD125072,25.629415
HD125184,20.921259
HD125271,24.692991
HD125455,20.24541
HD125522,20.569249
HD125595,25.278253
HD125612,21.880911
HD125881,21.489006
HD12617,21.82691
HD126525,20.758415
HD126681,15.262037
HD126793,
HD126803,
HD126829,21.477814
HD127124,18.508083
HD128113,
HD128340,
HD128431,20.539245
HD128571,19.997913
HD128674,
HD129191,23.200199
HD129229,
HD129642,
HD129829,23.593398
HD130322,19.560522
HD13060,20.910666
HD130930,
HD130989,20.638103
HD130992,22.298578
HD131183,22.828346
HD131218,19.78441
HD131565,19.700088
HD131653,
HD131664,21.92019
HD1320,19.566238
HD132411,20.798161
HD13252,
HD132569,19.444113
HD132648,
HD133633,
HD134060,22.738725
HD134088,
HD134113,
HD134606,20.824202
HD134664,20.945575
HD134702,19.983032
HD134929B,20.42331
HD134985,
HD134987,
HD135468,20.039175
HD135625,22.356803
HD13578,21.913301
HD136352,
HD136713,
HD136894,19.629978
HD137010,19.371531
HD13724,22.175319
HD137303,22.643767
HD137388,
HD137676,
HD13789,18.724149
HD13808,19.560555
HD138549,20.078532
HD138799,18.917133
HD1388,21.743998
HD138914,23.965329
HD139189,
HD139332,20.082634
HD139536,21.518385
HD139590,21.785911
HD139710,19.091658
HD139879,17.894686
HD140785,21.774967
HD140901,20.570755
HD141128,23.013601
HD141597,
HD141598,
HD141624,
HD141937,21.364776
HD142,18.482951
HD142022A,
HD142709,26.255599
HD142879,19.019745
HD143114,
HD143295,17.22808
HD143638,19.155605
HD14374,19.126618
HD143790,23.559446
HD144342,20.221313
HD144411,20.94988
HD144497,20.294266
HD14452,29.628243
HD144585,24.798478
HD144589,22.312696
HD144628,
HD144846,19.501666
HD144880,
HD145344,
HD145377,21.453665
HD145417,
HD145598,
HD145666,20.704565
HD145809,
HD145927,21.970198
HD1461,22.205033
HD146233,20.586956
HD14635,21.331132
HD14680,18.789792
HD147147,17.836145
HD147195,20.900894
HD14744,18.011866
HD14745,22.025229
HD14747,
HD147512,20.884969
HD147513,21.542306
HD147518,
HD148156,18.852982
HD148211,
HD148303,20.196799
HD148577,
HD14868,21.708006
HD148816,17.756614
HD149200,23.695072
HD149396,20.80216
HD149724,22.096394
HD149747,18.786411
HD150139,
HD150177,26.318086
HD150433,
HD150437,22.822677
HD150474,19.961083
HD151504,21.277103
HD151692,25.475633
HD151772,23.046052
HD151933,
HD152433,20.593569
HD152533,21.694908
HD153276,
HD15337,20.493658
HD153851,17.626545
HD153950,22.893652
HD154088,
HD154195A,20.294941
HD154363,33.162644
HD154387,26.272335
HD154577,
HD154962,22.524939
HD155717,
HD155968,20.674691
HD156079,25.422505
HD156098,22.761256
HD15612,18.910067
HD156411,20.276285
HD156423,
HD156517,18.907547
HD156991,22.001758
HD157172,19.968673
HD157338,21.418767
HD157347,21.793186
HD157668,18.550544
HD157830,19.287723
HD1581,21.201665
HD15906,20.706217
HD159868,20.13301
HD16008,20.170269
HD160089,18.80551
HD160691,22.280593
HD160836,19.964534
HD161098,19.681563
HD161256,
HD16141,21.804876
HD161555,
HD161566,21.099221
HD161612,20.813845
HD162020,18.425297
HD162236,18.605641
HD162396,
HD16270,20.80261
HD16280,20.928156
HD16297,19.102945
HD163102,21.234919
HD163436,23.149625
HD16382,21.041592
HD16417,21.84221
HD165131,22.289427
HD16536,21.12727
HD16548,22.333114
HD165920,19.404126
HD166724,18.315676
HD166745,
HD16714,20.302689
HD167300,
HD167359,18.600381
HD167677,
HD16784,
HD168159,19.399303
HD168746,
HD168769,18.723072
HD168863,22.157852
HD168870,
HD168871,23.110259
HD16905,22.753686
HD169830,23.197769
HD170493,
HD17051,22.477394
HD170958,18.841013
HD171028,
HD171587,
HD171665,20.531364
HD171825,18.551403
HD171942,20.364736
HD171990,22.156537
HD172513,19.319114
HD172568,
HD172643,19.19612
HD173885,21.337333
HD174153,21.83047
HD17439,20.95293
HD174545,
HD175179,
HD17548,
HD175607,
HD176157,
HD176354,
HD176535,17.85086
HD176666,
HD176986,21.27579
HD177033,23.227199
HD177122,21.676682
HD177409,20.779751
HD177565,20.252346
HD177758,
HD17865,
HD178904,22.383151
HD179346,19.662671
HD17970,
HD179949,22.957648
HD18001,21.202594
HD180409,20.418713
HD18083,23.504759
HD181249,19.539977
HD181428,22.942944
HD181433,20.513725
HD181720,
HD183658,21.388732
HD183783,16.421774
HD18386,18.943695
HD183870,18.642291
HD185283,21.583618
HD185615,
HD186061,20.238022
HD186302,20.505418
HD18719,18.172443
HD187456,
HD187760,23.320557
HD18777,27.662724
HD188091,20.876031
HD18822,17.865184
HD18838,19.397272
HD188559,
HD188748,21.160891
HD188815,
HD189004,15.594674
HD189242,18.885221
HD189567,
HD189625,21.700548
HD189987,
HD190204,19.310861
HD190248,19.615262
HD19034,
HD190524,21.703166
HD190613,20.96204
HD190647,21.934573
HD190954,
HD190984,
HD191033,19.22443
HD191285,21.499976
HD191797,17.367892
HD191847,18.570037
HD191902,25.716789
HD192031,
HD192117,20.702827
HD19230,20.973295
HD192310,
HD192865,20.696101
HD192961,34.260679
HD193193,22.093057
HD193406,22.827445
HD193844,20.043679
HD19423,21.677408
HD19467,
HD194717,17.652727
HD195145,21.164982
HD195200,23.499624
HD195302,18.705309
HD195564,20.944162
HD195633,
HD196050,23.49058
HD196384,24.436667
HD196397,20.33154
HD19641,21.703353
HD196761,
HD196800,23.87309
HD196892,
HD197083,
HD197197,
HD197210,19.60385
HD197300,18.860803
HD197536,
HD197823,19.503663
HD1979,20.85896
HD197921,22.582393
HD198075,21.848169
HD199086,21.039546
HD199190,21.971668
HD199288,
HD199289,
HD199604,
HD199847,
HD199868,20.872543
HD199933,17.309028
HD19994,30.219829
HD199960,22.816554
HD20003,20.556912
HD200083,21.590246
HD200143,20.35029
HD200349,31.138344
HD200505,17.986991
HD200538,22.053631
HD200633,23.106778
HD201161,25.446646
HD2014,22.441873
HD201422,22.208217
HD201496,18.988261
HD202206,20.963967
HD202209,21.906559
HD202389,23.984037
HD2025,19.608736
HD202605,21.43608
HD202819,27.896573
HD202871,20.033862
HD203335,
HD203384,20.914072
HD203413,19.100328
HD203432,20.156139
HD203771,21.795955
HD203850,
HD203897,18.522345
HD20407,
HD204287,21.426409
HD204313,21.929819
HD204385,22.864985
HD20492,17.997137
HD204941,19.132538
HD205294,19.814585
HD205536,19.855711
HD205591,19.575725
HD206116,22.715667
HD206163,17.782098
HD206172,19.716292
HD20619,20.849567
HD206630,20.358836
HD206998,
HD2071,20.319532
HD207129,21.235219
HD207190,
HD207583,19.230844
HD207699,23.218252
HD207700,
HD20781,19.163273
HD20782,20.993207
HD207832,20.368241
HD207869,
HD20794,
HD207970,
HD208,21.992561
HD208068,21.561669
HD20807,
HD208272,17.960613
HD208487,21.783363
HD208573,20.519127
HD208672,21.236177
HD20868,18.665853
HD208704,21.443565
HD209100,
HD209449,
HD209458,
HD209566,21.011903
HD209742,18.921085
HD21019,
HD210272,
HD210277,
HD210320,
HD210329,19.624469
HD210507,18.406655
HD210573,22.177524
HD210752,
HD210918,23.245466
HD210975,
HD211038,
HD211188,19.719454
HD211317,30.398641
HD21132,
HD211369,18.806767
HD211415,20.936463
HD211534,18.908365
HD211583,26.074681
HD21161,21.810827
HD212036,21.639677
HD21209A,21.92212
HD212231,
HD212301,19.674012
HD21251,33.854936
HD212563,20.925926
HD212580,18.217927
HD212708,21.300046
HD212918,20.815091
HD213042,28.324334
HD213240,23.211142
HD213575,
HD213628,20.586729
HD213852,22.877697
HD213941,
HD214094,22.381664
HD21411,18.627788
HD214383,16.30052
HD214385,
HD214759,20.080637
HD214867,21.718397
HD214954,17.85151
HD214998,
HD215152,20.541232
HD215257,
HD215456,20.659677
HD215497,
HD215625,21.790433
HD215722,23.295162
HD215902,17.421462
HD215906,17.26626
HD216008,21.80237
HD216215,21.217468
HD216435,22.885809
HD216770,
HD216777,
HD21693,20.226404
HD217221,19.41047
HD217395,21.000047
HD21749,28.239086
HD21759,
HD217786,28.436076
HD217958,24.944603
HD218249,21.271189
HD218340,21.19845
HD218379,22.237993
HD218504,
HD218511,22.509215
HD218572,
HD218750,
HD218885,18.589387
HD219077,
HD219249,
HD21938,
HD219495,29.284608
HD21977,22.755947
HD220256,
HD220339,19.537241
HD220367,
HD220456,20.298242
HD22049,18.741797
HD220507,
HD220894,23.145823
HD221146,21.425474
HD221287,22.338618
HD221343,25.718047
HD221356,20.854047
HD221420,
HD221580,13.173686
HD221638,16.280751
HD22177,21.403503
HD221974,22.527788
HD222237,
HD222335,19.465299
HD222422,20.907831
HD22249,20.672758
HD222582,21.359128
HD222595,20.383967
HD222669,20.961678
HD222721,
HD22282,25.35015
HD223121,21.673508
HD223171,21.992416
HD223272,29.798515
HD223282,
HD223315,23.128251
HD223854,20.760289
HD224047,19.154341
HD224063,
HD224230,22.343324
HD224287,18.863455
HD224347,
HD224393,20.401549
HD224432,16.641123
HD224433,21.354246
HD224578,21.365685
HD224619,
HD224685,
HD224789,17.984731
HD224817,
HD225297,
HD22610,21.981546
HD22879,
HD22897,20.079938
HD22918,
HD23030,20.672858
HD23079,21.042443
HD23249,21.47248
HD23356,19.246812
HD23456,
HD23472,22.670576
HD23901,
HD24062,16.496426
HD24085,20.772413
HD24112,23.420537
HD24331,19.192008
HD24558,
HD24633,
HD24892,
HD25061,18.458193
HD25105,18.825595
HD25120,18.558772
HD25171,19.242777
HD25357,19.48613
HD25565,20.440215
HD25587,24.032626
HD2567,25.484864
HD25673,
HD25704,
HD25912,23.059752
HD2638,19.443352
HD26430,
HD26729,21.539046
HD26887,19.791311
HD26965A,
HD27063,20.492792
HD27471,21.972735
HD2768,21.14458
HD27894,
HD28185,21.308998
HD28254,22.776337
HD283,
HD28471,21.525312
HD28701,
HD28807,18.113511
HD28821,22.016569
HD28969,17.670935
HD290038,19.878039
HD290327,
HD29137,21.68503
HD291763,
HD29263,21.645134
HD29303,21.235986
HD29428,30.718257
HD297396,27.324415
HD29980,21.441632
HD29985,30.113575
HD30053,17.387372
HD30177,21.658495
HD30278,20.023765
HD30306,20.085709
HD30523,20.88868
HD30669,22.811966
HD30858,19.665128
HD309701,20.034208
HD31103,22.487546
HD31527,20.96544
HD31532,23.000371
HD31560,21.647321
HD31822,19.997894
HD3220,19.948297
HD3229,21.717954
HD323631,19.011557
HD324492,
HD326267,21.265519
HD32724,
HD32804,20.337186
HD329788,
HD330075,
HD33081,
HD33473A,21.049964
HD33725,19.386487
HD33811,22.914123
HD33822,21.972
HD34327,21.173723
HD34449,20.731606
HD34688,19.237296
HD3569,19.06134
HD35854,19.509717
HD36003,28.126572
HD36051,17.467346
HD361,20.26595
HD36108,21.554766
HD36179,18.004026
HD36379,20.667743
HD37226,21.591637
HD37548,23.153317
HD37962,19.709455
HD37986,20.669314
HD37990,21.255907
HD38078,19.990057
HD3808,21.479044
HD3823,
HD38265,21.135792
HD38277,20.962494
HD38355,20.20413
HD38382,21.74117
HD38385,33.449891
HD38510,
HD38772,21.492216
HD38858,19.571898
HD38973,21.622285
HD39091,21.543491
HD39194,
HD39427,19.381967
HD3964,20.883905
HD40105,20.896216
HD4021,17.168417
HD40307,20.957757
HD40397,
HD40483,21.098434
HD40503,18.444993
HD40865,
HD41087,17.850905
HD41248,20.024765
HD41323,18.544329
HD4208,
HD42505,24.456359
HD4307,
HD4308,
HD43197,21.575733
HD44120,22.496136
HD44219,21.714975
HD44420,
HD44447,
HD4457,
HD44573,18.390699
HD44594,21.468296
HD44804,18.660953
HD45184,21.131003
HD45289,
HD45364,
HD457,23.561437
HD4597,
HD45977,49.659795
HD47186,22.229914
HD48115,21.033644
HD4838,20.185124
HD48611,
HD49035,21.301464
HD4915,19.790097
HD50590,
HD50806,
HD51608,
HD51754,
HD52265,22.578321
HD52449,22.921651
HD52919,19.856663
HD5349,19.577274
HD5388,24.67728
HD54521,21.406197
HD55,21.898523
HD55693,34.044869
HD56274,
HD56380,
HD564,19.906808
HD57568,23.824959
HD58489,
HD58676,20.139298
HD59468,21.409501
HD59711A,20.458135
HD59984,
HD61051,
HD61383,
HD61447,24.237691
HD61902,
HD61986,
HD62128,21.30489
HD62364,
HD62847,18.419663
HD62849,19.898485
HD63454,20.443914
HD6348,
HD63685,
HD63754,24.626494
HD63765,18.639776
HD64640,
HD65216,19.876609
HD65277,
HD65562,
HD65907A,
HD65982,24.124082
HD66039,22.424196
HD66040,20.280311
HD66168,22.275304
HD66221,21.734781
HD66340,20.71457
HD66428,
HD6673,18.876059
HD66740,20.429595
HD66838,17.007633
HD67,20.618935
HD6718,21.435022
HD67200,22.71692
HD6735,20.038706
HD67458,21.019405
HD68089,
HD68284,
HD68287,22.897901
HD68607,18.984654
HD68978A,21.825452
HD69611,
HD69655,21.996393
HD69830,20.045946
HD70642,
HD70889,20.950038
HD70903,19.005858
HD71334,20.91339
HD7134,
HD71479,23.630997
HD71685,19.408864
HD71835,19.646367
HD7199,
HD72374,20.842839
HD72579,
HD72659,22.33519
HD72673,
HD72769,20.184374
HD73121,23.397647
HD73256,20.095336
HD73267,
HD73524,22.950033
HD73583,20.148682
HD74014,20.415706
HD7449,20.333743
HD74698,21.571854
HD74957,24.065703
HD750,17.394061
HD75289,23.680171
HD75328,21.77116
HD75530,
HD75745,
HD75881,17.326675
HD76151,20.6936
HD76188,
HD76440,31.138224
HD77110,
HD78429,21.346236
HD78538,20.488776
HD78558,
HD78612,
HD78747,
HD78964B,18.273245
HD79601,
HD8038,20.125921
HD80883,18.341423
HD81639,21.224316
HD81700,15.421465
HD81767,21.128116
HD82114,24.198426
HD82342,
HD82516,19.416388
HD82783,
HD82943,22.145578
HD8326,19.836765
HD83443,
HD83529,22.133081
HD8389A,
HD8406,19.757606
HD84305,19.805421
HD84627B,20.803133
HD85119,18.503429
HD8535,22.545331
HD85390,19.080186
HD85512,27.974505
HD85725,21.817107
HD86065,19.235497
HD86140,19.494611
HD86171,19.01106
HD8638,
HD86652,22.094036
HD870,19.005986
HD87320,
HD87521,19.8113
HD87838,
HD88084,21.838358
HD88218,
HD8828,20.097319
HD88474,21.438685
HD8859,21.246301
HD88656,18.331925
HD88725,
HD88742,20.432991
HD88885,20.055108
HD8912,18.438159
HD89147,20.566277
HD8930,19.075653
HD89454,20.073088
HD89668,27.718346
HD89749,19.46734
HD89839,21.978962
HD8985,23.059456
HD89920,20.275794
HD89965,20.277553
HD90081,18.591776
HD90133,19.737583
HD90156,21.413042
HD90422,
HD90702,21.871057
HD90711,
HD90722,21.687301
HD90812,
HD90926,20.263765
HD90936,20.538159
HD91267,20.100023
HD91345,16.102355
HD91379,19.771188
HD9246,19.327862
HD92547,
HD92588,19.006228
HD92719,20.517869
HD92788,21.202397
HD93083,
HD93351,20.826876
HD93380,29.887586
HD93385,21.662186
HD93745,25.896798
HD93932,
HD94151,20.306215
HD94444,
HD94771,21.646813
HD94964,
HD95456,23.876173
HD95521,20.879585
HD95533,21.085086
HD95542,20.22256
HD9578,22.108985
HD95860,
HD95922,14.259364
HD9608,19.278293
HD96116,20.140257
HD96276,24.794949
HD96290,26.00608
HD96423,21.717519
HD96673,27.601776
HD967,
HD96700,21.136021
HD97037,21.815371
HD97343,
HD97783,
HD9782,21.377854
HD9796,
HD97998,22.091762
HD98281,
HD98284,
HD98356,19.512993
HIP102025,22.8593
HIP102964,19.526087
HIP103867,24.349693
HIP104856,23.794724
HIP105506,23.002163
HIP10741,
HIP108216,
HIP109149,15.540635
HIP109421,29.211453
HIP113596,25.823702
HIP116374,24.413498
HIP116939,18.746035
HIP12147,19.998792
HIP15587,19.986571
HIP16094,21.408329
HIP17346,26.115158
HIP1745,
HIP18918,20.411776
HIP20444,21.928725
HIP21539,22.242733
HIP21934,32.066299
HIP22059,20.614613
HIP25612,25.051373
HIP26013,21.260249
HIP26542,22.81292
HIP31639,
HIP32127,
HIP32812,31.519925
HIP33392,23.713435
HIP35992,
HIP36347,39.914542
HIP38324,30.307433
HIP39470,18.415241
HIP41659,
HIP45301,21.838708
HIP46933,18.740752
HIP5114,
HIP5158,24.325958
HIP54446,16.812378
HIP54597,22.914996
HIP57688,19.820646
HIP58348,21.382208
HIP59925,19.430084
HIP61406,29.599757
HIP64965,25.550264
HIP67126,22.757729
HIP69224,20.397687
HIP7058,36.943936
HIP7743,22.655562
HIP78242,20.036198
HIP80083,
HIP88316,
HIP9398,30.710856
HIP96240,18.103165
HIP98764,22.28994
HIP99606B,
